"#","Embroidermodder 2 CSV Embroidery File"
"#","http://embroidermodder.github.io"

"#","General Notes:"
"#","This file can be read by Excel or LibreOffice as CSV (Comma Separated Value) or with a text editor."
"#","Lines beginning with # are comments."
"#","Lines beginning with > are variables: [VAR_NAME], [VAR_VALUE]"
"#","Lines beginning with $ are threads: [THREAD_NUMBER], [RED], [GREEN], [BLUE], [DESCRIPTION], [CATALOG_NUMBER]"
"#","Lines beginning with * are stitch entries: [STITCH_TYPE], [X], [Y]"

"#","Stitch Entry Notes:"
"#","STITCH instructs the machine to move to the position [X][Y] and then make a stitch."
"#","JUMP instructs the machine to move to the position [X][Y] without making a stitch."
"#","TRIM instructs the machine to cut the thread before moving to the position [X][Y] without making a stitch."
"#","COLOR instructs the machine to stop temporarily so that the user can change to a different color thread before resuming."
"#","END instructs the machine that the design is completed and there are no further instructions."
"#","UNKNOWN encompasses instructions that may not be supported currently."
"#","[X] and [Y] are absolute coordinates in millimeters (mm)."

"#","[VAR_NAME]","[VAR_VALUE]"
">","STITCH_COUNT:","4720"
">","THREAD_COUNT:","13"
">","EXTENTS_LEFT:","-58.300000"
">","EXTENTS_TOP:","-51.900000"
">","EXTENTS_RIGHT:","35.000000"
">","EXTENTS_BOTTOM:","15.900000"
">","EXTENTS_WIDTH:","93.300000"
">","EXTENTS_HEIGHT:","67.800000"

"#","[THREAD_NUMBER]","[RED]","[GREEN]","[BLUE]","[DESCRIPTION]","[CATALOG_NUMBER]"
"$","1","186","152","0","(null)","(null)"
"$","2","239","227","185","(null)","(null)"
"$","3","0","135","119","(null)","(null)"
"$","4","178","118","36","(null)","(null)"
"$","5","209","84","0","(null)","(null)"
"$","6","42","19","1","(null)","(null)"
"$","7","42","19","1","(null)","(null)"
"$","8","47","126","32","(null)","(null)"
"$","9","47","126","32","(null)","(null)"
"$","10","168","222","235","(null)","(null)"
"$","11","168","222","235","(null)","(null)"
"$","12","178","118","36","(null)","(null)"
"$","13","178","118","36","(null)","(null)"

"#","[STITCH_TYPE]","[X]","[Y]"
"*","STITCH","-30.700000","-31.400000"
"*","STITCH","-31.800000","-30.300000"
"*","STITCH","-30.500000","-30.900000"
"*","STITCH","-31.700000","-29.800000"
"*","STITCH","-30.200000","-30.600000"
"*","STITCH","-31.500000","-29.500000"
"*","STITCH","-30.100000","-30.100000"
"*","STITCH","-31.500000","-29.100000"
"*","STITCH","-29.800000","-29.600000"
"*","STITCH","-31.400000","-28.700000"
"*","STITCH","-29.600000","-29.200000"
"*","STITCH","-31.400000","-28.400000"
"*","STITCH","-29.300000","-28.600000"
"*","STITCH","-30.900000","-28.000000"
"*","STITCH","-32.500000","-27.500000"
"*","STITCH","-33.900000","-28.500000"
"*","STITCH","-35.400000","-29.500000"
"*","STITCH","-36.000000","-31.500000"
"*","STITCH","-36.400000","-32.900000"
"*","STITCH","-37.200000","-34.900000"
"*","STITCH","-38.200000","-36.300000"
"*","STITCH","-39.400000","-37.500000"
"*","STITCH","-40.600000","-38.300000"
"*","STITCH","-41.500000","-39.300000"
"*","STITCH","-42.500000","-40.300000"
"*","STITCH","-43.200000","-39.800000"
"*","STITCH","-43.300000","-41.500000"
"*","STITCH","-42.800000","-39.400000"
"*","STITCH","-42.700000","-41.300000"
"*","STITCH","-42.500000","-38.700000"
"*","STITCH","-42.100000","-41.000000"
"*","STITCH","-42.300000","-38.400000"
"*","STITCH","-41.500000","-40.800000"
"*","STITCH","-42.200000","-37.500000"
"*","STITCH","-41.000000","-40.400000"
"*","STITCH","-42.100000","-36.500000"
"*","STITCH","-40.500000","-40.200000"
"*","STITCH","-41.700000","-36.400000"
"*","STITCH","-40.200000","-39.800000"
"*","STITCH","-41.300000","-36.400000"
"*","STITCH","-39.800000","-39.500000"
"*","STITCH","-40.900000","-36.400000"
"*","STITCH","-39.400000","-39.200000"
"*","STITCH","-40.300000","-36.400000"
"*","STITCH","-39.000000","-38.900000"
"*","STITCH","-40.100000","-36.200000"
"*","STITCH","-38.600000","-38.600000"
"*","STITCH","-39.700000","-36.100000"
"*","STITCH","-38.200000","-38.100000"
"*","STITCH","-39.300000","-35.600000"
"*","STITCH","-38.000000","-37.800000"
"*","STITCH","-38.900000","-35.500000"
"*","STITCH","-37.600000","-37.300000"
"*","STITCH","-38.600000","-35.200000"
"*","STITCH","-37.500000","-36.700000"
"*","STITCH","-38.500000","-34.900000"
"*","STITCH","-37.100000","-36.500000"
"*","STITCH","-38.100000","-34.700000"
"*","STITCH","-36.800000","-36.000000"
"*","STITCH","-37.900000","-34.300000"
"*","STITCH","-36.500000","-35.700000"
"*","STITCH","-37.700000","-33.900000"
"*","STITCH","-36.300000","-35.100000"
"*","STITCH","-37.400000","-33.500000"
"*","STITCH","-36.100000","-34.600000"
"*","STITCH","-37.300000","-33.100000"
"*","STITCH","-36.000000","-34.100000"
"*","STITCH","-37.200000","-32.600000"
"*","STITCH","-35.700000","-33.600000"
"*","STITCH","-37.000000","-32.200000"
"*","STITCH","-35.700000","-32.900000"
"*","STITCH","-36.900000","-31.800000"
"*","STITCH","-35.400000","-32.700000"
"*","STITCH","-36.900000","-31.200000"
"*","STITCH","-35.400000","-32.000000"
"*","STITCH","-36.900000","-30.800000"
"*","STITCH","-35.100000","-31.700000"
"*","STITCH","-36.900000","-30.300000"
"*","STITCH","-35.100000","-31.200000"
"*","STITCH","-36.800000","-29.700000"
"*","STITCH","-35.000000","-30.800000"
"*","STITCH","-36.700000","-29.400000"
"*","STITCH","-34.600000","-30.400000"
"*","STITCH","-36.800000","-28.900000"
"*","STITCH","-34.400000","-29.900000"
"*","STITCH","-36.700000","-28.700000"
"*","STITCH","-34.100000","-29.600000"
"*","STITCH","-36.600000","-28.400000"
"*","STITCH","-33.800000","-29.500000"
"*","STITCH","-36.200000","-28.100000"
"*","STITCH","-33.200000","-29.200000"
"*","STITCH","-35.400000","-28.100000"
"*","STITCH","-33.000000","-28.800000"
"*","STITCH","-34.700000","-27.800000"
"*","STITCH","-32.300000","-28.700000"
"*","STITCH","-34.300000","-27.600000"
"*","STITCH","-31.900000","-28.400000"
"*","STITCH","-34.000000","-27.300000"
"*","STITCH","-31.400000","-28.100000"
"*","STITCH","-33.500000","-26.900000"
"*","STITCH","-31.300000","-27.800000"
"*","STITCH","-31.800000","-27.500000"
"*","STITCH","-33.100000","-26.900000"
"*","STITCH","-31.900000","-27.300000"
"*","STITCH","-29.900000","-27.800000"
"*","STITCH","-31.600000","-27.000000"
"*","TRIM","-31.300000","-26.600000"
"*","COLOR","-31.300000","-26.600000"
"*","JUMP","-31.300000","-26.600000"
"*","STITCH","-31.300000","-26.600000"
"*","STITCH","-29.200000","-27.300000"
"*","STITCH","-26.900000","-27.100000"
"*","STITCH","-25.000000","-26.500000"
"*","STITCH","-22.800000","-26.000000"
"*","STITCH","-20.800000","-25.300000"
"*","STITCH","-18.700000","-24.300000"
"*","STITCH","-16.200000","-22.700000"
"*","STITCH","-13.700000","-21.400000"
"*","STITCH","-11.400000","-20.100000"
"*","STITCH","-8.700000","-18.000000"
"*","STITCH","-8.600000","-17.200000"
"*","STITCH","-11.500000","-18.000000"
"*","STITCH","-12.400000","-16.000000"
"*","STITCH","-12.900000","-15.400000"
"*","STITCH","-12.400000","-14.500000"
"*","STITCH","-15.100000","-15.400000"
"*","STITCH","-16.700000","-15.500000"
"*","STITCH","-17.000000","-14.800000"
"*","STITCH","-19.800000","-15.700000"
"*","STITCH","-20.100000","-15.000000"
"*","STITCH","-22.800000","-16.800000"
"*","STITCH","-25.200000","-17.100000"
"*","STITCH","-27.800000","-17.000000"
"*","STITCH","-30.100000","-19.100000"
"*","STITCH","-31.600000","-20.900000"
"*","STITCH","-29.700000","-23.600000"
"*","STITCH","-27.400000","-22.600000"
"*","STITCH","-25.300000","-21.900000"
"*","STITCH","-23.100000","-21.100000"
"*","STITCH","-21.100000","-20.400000"
"*","STITCH","-19.200000","-19.100000"
"*","STITCH","-17.400000","-17.800000"
"*","STITCH","-15.600000","-16.500000"
"*","STITCH","-13.800000","-15.200000"
"*","STITCH","-12.000000","-16.700000"
"*","STITCH","-10.100000","-18.200000"
"*","STITCH","-11.500000","-18.700000"
"*","STITCH","-12.900000","-19.100000"
"*","STITCH","-14.700000","-17.900000"
"*","STITCH","-16.500000","-16.600000"
"*","STITCH","-18.300000","-15.500000"
"*","STITCH","-19.900000","-17.100000"
"*","STITCH","-18.300000","-18.200000"
"*","STITCH","-16.700000","-19.300000"
"*","STITCH","-15.100000","-20.400000"
"*","STITCH","-13.500000","-21.500000"
"*","STITCH","-14.800000","-21.800000"
"*","STITCH","-16.000000","-22.100000"
"*","STITCH","-18.000000","-20.700000"
"*","STITCH","-20.000000","-19.200000"
"*","STITCH","-21.900000","-17.700000"
"*","STITCH","-23.900000","-16.200000"
"*","STITCH","-24.700000","-17.500000"
"*","STITCH","-22.700000","-18.900000"
"*","STITCH","-20.700000","-20.300000"
"*","STITCH","-18.800000","-21.700000"
"*","STITCH","-16.800000","-23.000000"
"*","STITCH","-18.300000","-23.400000"
"*","STITCH","-19.700000","-23.700000"
"*","STITCH","-21.600000","-22.100000"
"*","STITCH","-23.400000","-20.500000"
"*","STITCH","-25.300000","-18.900000"
"*","STITCH","-27.200000","-17.300000"
"*","STITCH","-29.200000","-18.600000"
"*","STITCH","-27.600000","-19.900000"
"*","STITCH","-26.000000","-21.200000"
"*","STITCH","-24.500000","-22.500000"
"*","STITCH","-22.900000","-23.800000"
"*","STITCH","-21.400000","-25.000000"
"*","STITCH","-23.300000","-25.700000"
"*","STITCH","-25.100000","-24.100000"
"*","STITCH","-26.800000","-22.500000"
"*","STITCH","-28.500000","-20.900000"
"*","STITCH","-30.200000","-19.300000"
"*","STITCH","-30.800000","-20.700000"
"*","STITCH","-29.400000","-22.000000"
"*","STITCH","-27.900000","-23.200000"
"*","STITCH","-26.400000","-24.500000"
"*","STITCH","-25.000000","-25.800000"
"*","STITCH","-26.100000","-26.500000"
"*","STITCH","-27.200000","-27.100000"
